Museum Name,City,Region,Continent,Address,Coordinates,Year of Establishment,Notable Items,Audio-Visuals,Webpage,Wiki-page,Contact,Remarks,Port
German Oceanographic Museum,Stralsund,Germany,Europe,"Bielkenhagen 10, 18439 Stralsund, Germany","54.3133727102241, 13.088417706351978",2008,,https://www.youtube.com/user/MEERESMUSEUM1951,https://www.meeresmuseum.de/en/,https://en.wikipedia.org/wiki/German_Oceanographic_Museum,info@meeresmuseum.de,,
Shipbuilding and Maritime Museum Rostock,Rostock,Germany,Europe,"Schmarl-Dorf 40, 18106 Rostock","54.14206723670113, 12.08791137566398",1968,the original cargo ship,https://www.youtube.com/channel/UCMM2DmYVLoRYbv_K5G0WThQ,https://schifffahrtsmuseum-rostock.de/,,info@ schifffahrtsmuseum -rostock.de,,
Marinemuseum Dänholm,Dänholm,Germany,Europe,"Zur Sternschanze 7, 18439 Stralsund, Germany","54.30987964741181, 13.11926629947199",1992,,,http://www.fv-mamu.de/Start/,https://de.wikipedia.org/wiki/Marinemuseum_D%C3%A4nholm,info@fv-mamu.de,,
Sassnitz Fishery and Harbor Museum,Sassnitz,Germany,Europe,"Hafenstraße 12 G, 18546 Sassnitz, Germany","54.51918670182827, 13.646139929436957",1996,,,http://www.hafenmuseum.de/startseite.html,,info@hafenmuseum.de,,
Erlebniswelt U-Boot,Sassnitz,Germany,Europe,"Hafenstraße 18, 18546 Sassnitz, Germany","54.515922461435004, 13.652539538143586",2002,Museum ship,,http://hms-otus.com/home/,,info@hms-otus.com,,
U-Boot Museum,Hamburg,Germany,Europe,"St. Pauli Fischmarkt 10, 20359 Hamburg, Germany","53.54517334162852, 9.955545678813863",2002,Museum ship,,https://www.u-434.de/en/u-boat-museum.html,https://en.wikipedia.org/wiki/Soviet_submarine_B-515,https://www.u-434.de/en/contact.html,,
Maritim Museum Peenemünde U-461,Peenemünde,Germany,Europe,"Haupthafen, 17449 Peenemünde, Germany","54.135498147084725, 13.768227452383973",,Museum ship,,http://www.u-461.de/www.u-461.de/Welcome.html,,kasse@u-461.de,,
Fishing Museum Peitz,Peitz,Germany,Europe,"Hüttenwerk 1, 03185 Peitz, Germany","53.35060843929119, 22.257689919189943",2006,,,https://www.fischereimuseum.de/index3.php,,info@fischereimuseum.de,,
German Inland Waterways Museum,Duisburg,Germany,Europe,"Apostelstrasse 84, 47119 Duisburg","51.46004587581334, 6.73105991428798",1979,,https://www.youtube.com/watch?v=Ro-sGa_lILM,http://www.binnenschifffahrtsmuseum.de/,https://en.wikipedia.org/wiki/German_Inland_Waterways_Museum,service@binnenschifffahrtsmuseum.de,,
Regensburg Danube Navigation Museum ,Regensburg,Germany,Europe,"Thundorferstraße, 93059 Regensburg, Germany","49.02147048878659, 12.102945913231963",1979,Museum ship,,https://www.donau-schiffahrtsmuseum-regensburg.de/index.php?page=37,https://en.wikipedia.org/wiki/Regensburg_Museum_of_Danube_Shipping,kontakt@dsmr.de,,
Hafenmuseum Hamburg,Hamburg,Germany,Europe,"Australiastraße 50A, 20457 Hamburg, Germany","53.52549785030978, 10.000899541993242",2002,Port history,https://youtu.be/NOyVKmkPSUM,https://shmh.de/de/hafenmuseum-hamburg,https://de.wikipedia.org/wiki/Hafenmuseum_Hamburg,info@shmh.de,,
Aegean Maritime Museum,Mykonos,Greece,Europe,"Enoplon Dinameon 10, Mikonos 846 00, Greece","37.44534130574195, 25.32879819297353",1985,Greek maritime history and tradition,https://www.youtube.com/watch?v=zwzj89reeSg,https://aegean-maritime-museum.gr/en/aegean-maritime-museum-myconos,https://en.wikipedia.org/wiki/Aegean_Maritime_Museum,https://aegean-maritime-museum.gr/en/contact-us,,
Hellenic Maritime Museum,Pireas,Greece,Europe,"Akti Themistokleous, Pireas 185 37, Greece","37.932744881525835, 23.646402324322114",1949,,https://www.youtube.com/channel/UCFG3pmNXyYMe3y2KOcpy5ww,https://www.hmmuseum.gr/en-us/,https://en.wikipedia.org/wiki/Hellenic_Maritime_Museum,info@hmmuseum.gr,,
Nautical Museum of Crete,Crete,Greece,Europe,"Akti Kountourioti, Chania 731 36, Greece","35.518350733455954, 24.016977032217753",1973,,https://www.youtube.com/channel/UCwL59gM_DJa_FfecqjdowRA,http://mar-mus-crete.gr/en/the-museum/,https://en.wikipedia.org/wiki/Nautical_Museum_of_Crete,mar-mus@otenet.gr,,
Reykjavík Maritime Museum,Reykjavík,Iceland,Europe,"Grandagarður 8, 101 Reykjavík, Iceland","64.1535591713041, -21.945696656657955",2005,,https://www.youtube.com/watch?v=droJzB7VK3U,https://reykjavikcitymuseum.is/reykjavik-maritime-museum?_ga=2.14277618.413194261.1645252119-1472976305.1645252119,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Maritime_Museum,citymuseum@reykjavik.is,,
Westfjords Heritage Museum,Ísafjörður,Iceland,Europe,"Ísafjörður, Iceland","66.06850735229405, -23.126097947104892",1988,,https://www.westfjords.is/en/service/westfjords-heritage-museum,,https://en.wikipedia.org/wiki/Westfjords_Heritage_Museum,byggdasafn@isafjordur.is,,
Viking World,Njardvik,Iceland,Europe,"Víkingabraut, Njardvik, Iceland","63.976015002413874, -22.528551447751724",2009,,https://www.youtube.com/watch?v=rnCHqHGC3qU,https://www.vikingworld.is/,https://en.wikipedia.org/wiki/Viking_World_museum,info@vikingworld.is,,
Eyrarbakki Maritime Museum,Eyrarbakki,Iceland,Europe,"Túngata 55, Eyrarbakki, Iceland","63.86457694646409, -21.151220389288408",,,,http://www.byggdasafn.is/onnur-sofn/sjominjasafnid-a-eyrarbakka/,,info@byggdasafn.is,,
Herring Era Museum,Siglufjörður,Iceland,Europe,"Snorragata 10, 580 Siglufjörður, Iceland","66.1481692921448, -18.91259572627103",1994,,https://vimeo.com/herringmuseum,Herring Era Museum,https://en.wikipedia.org/wiki/Herring_Era_Museum,safn@sild.is,,
Kursura Submarine Museum ,Visakhapatnam,India,Asia,"RK Beach Rd, Kirlampudi Layout, Chinna Waltair, Pandurangapuram, Visakhapatnam, Andhra Pradesh 530017, India","17.7174504992104, 83.3339146655758",2002,Kursura as a museum ship ,,http://vmrda.gov.in/kursura.aspx,https://en.wikipedia.org/wiki/INS_Kursura_(S20),mcvmrda@gmail.com,,
Tharangambadi Maritime Museum,Tranquebar,India,Asia,"2VG3+9X4, Tharangambadi, Tamil Nadu 609313, India","11.026258808319666, 79.85740533241913",,,,,"https://en.wikipedia.org/wiki/Maritime_Museum,_Tranquebar",,,
Indian Naval Aviation Museum,Vasco da Gama,India,Asia,"Bogmalo Road, Vasco da Gama, Goa 403806, India","15.375983594756274, 73.84106606515951",1998,,,https://www.goa-tourism.com/naval,https://en.wikipedia.org/wiki/Naval_Aviation_Museum_(Goa),reservations@goa-tourism.com,,
Visakha Naval Maritime Museum (Swarna Jyoti Museum),Visakhapatnam,India,Asia,"505, Beach Rd, Kirlampudi Layout, Chinna Waltair, Pandurangapuram, Visakhapatnam, Andhra Pradesh 530017, India","17.72182145253154, 83.33657535183391",1989,,,,,,,
Odisha State Maritime Museum,Cuttack,India,Asia,"Mahanadi, Ring Rd, Professors Colony, Cuttack, Odisha 753003, India","20.479649954701433, 85.89884305130005",2013,,,https://www.facebook.com/www.odishastatemaritimemuseum.org/,,,,
Indian Naval Maritime Museum,Kochi,India,Asia,"K.J. Herschel Rd, Veli, Kochi, Kerala 682001, India","9.959860328403286, 76.24127398252101",2001,,https://www.youtube.com/watch?v=Mps4Oypal7E,https://www.incredibleindia.org/content/incredible-india-v2/en/destinations/kochi/snc-maritime-museum.html,,info.mot@gov.in,,
Jakarta Maritime Museum,Jakarta,Indonesia,Asia,"Jl. Ps. Ikan No.1, RT.11/RW.4, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia","-6.126144565505467, 106.80858989999999",1977,Ship models,,https://www.mitramuseumjakarta.org/bahari,https://en.wikipedia.org/wiki/Maritime_Museum_(Indonesia),museumbahari@yahoo.com,A fire in 2018 burned most of the building and its collection,
Museum Maritim Indonesia,Jakarta,Indonesia,Asia,"Jl Pasoso no 1, Tanjung Priok Harbor, North Jakarta","-6.1069174515802285, 106.8851954597726",2019,,https://www.youtube.com/channel/UCSpMbXk3I61HGo37dNxA3IA,https://maritimemuseum.id/,,info@maritimemuseum.id,,
National Maritime Museum of Ireland,Dublin,Ireland,Europe,"Haigh Terrace, Dún Laoghaire, Dun Laoghaire, Co. Dublin, Ireland","53.292813979488834, -6.128007011703258",1978,,https://www.youtube.com/channel/UC64IK27MzfmdBpClch3zaOw,https://www.mariner.ie/#/,https://en.wikipedia.org/wiki/National_Maritime_Museum_of_Ireland,museum@mariner.ie,,
Passage West Maritime Museum,Cork,Ireland,Europe,"Main St, Maulbaun, Passage West, Co. Cork, T12 X4AX, Ireland","51.872629641671914, -8.334189156120404",2018,,https://www.facebook.com/passagemuseum/videos/ring-of-cork/332106117375816,http://passagemuseum.ie/index.html,,info@passagemuseum.ie,,
Inishowen Maritime Museum & Planetarium,Donegal,Ireland,Europe,"Coastguard Station, Eleven Ballyboes, Co. Donegal, F93 TO28, Ireland","55.20414479138353, -6.982580513945464",1994,,https://www.youtube.com/watch?v=pAnWG28b2jo,https://inishowenmaritime.com/,,greencastlemaritime@outlook.com,,
National Maritime Museum,Haifa,Israel,Middle East,"Derech Allenby 198, Haifa, Israel","32.82969702593103, 34.972854484122585",1953,,,https://www.nmm.org.il/eng,https://en.wikipedia.org/wiki/Israeli_National_Maritime_Museum,info@hms.org.il,,
Galata Museo del Mare,Genoa,Italy,Europe,"Calata Ansaldo De Mari, 1, 16126 Genova GE, Italy","44.41508103417936, 8.92585129786455",2004,Ships,https://storage.googleapis.com/thekey-ticketing.appspot.com/muma/home-page-video/galata-home-video.m4v,https://galatamuseodelmare.it/,https://en.wikipedia.org/wiki/Galata_-_Museo_del_mare,accoglienzagalata@galatamuseodelmare.it,,
Museo Storico Navale,Venice,Italy,Europe,"Riva S. Biasio, 2148, 30122 Venezia VE, Italy","45.4329070781234, 12.350857052914304",1919,,https://youtu.be/OQKc2QEciiU,https://www.marina.difesa.it/cosa-facciamo/per-la-cultura/musei/museostoricove/Pagine/default.aspx,https://en.wikipedia.org/wiki/Museo_Storico_Navale,urp@marina.difesa.it,,
Technical Naval Museum,La Spezia,Italy,Europe,"Viale Giovanni Amendola, 1, 19121 La Spezia Provincia della Spezia, Italy","44.10179387781925, 9.822434275140408",1923,,https://www.youtube.com/watch?v=4UHrl7AoR4Q,https://www.marina.difesa.it/EN/history/museums/Pagine/museotecniconavale.aspx,https://en.wikipedia.org/wiki/Technical_Naval_Museum_at_La_Spezia,mdpt.sp.museo.navale@marina.difesa.it,,
Museo della pesca del Litorale triestino,Santa Croce TS,Italy,Europe,"Località S. Croce, 61, 34010 Santa Croce TS, Italy","45.73260695515706, 13.694966775103678",,,,http://www.ribiski-muzej.it/contatti/?lang=en,,info@ribiski-muzej.it,,
Kure maritime Museum (Yamato Museum) 大和ミュージアム,Kure,Japan,Asia,"5-20 Takaramachi, Kure, Hiroshima 737-0029, Japan","34.24241626655243, 132.55868791267426",2005,Yamoto ship model,,https://yamato-museum.com/,https://en.wikipedia.org/wiki/Yamato_Museum,http://www.yamato-museum.jp/contactform/?page_id=6,,
Kobe Maritime Museum 神戸海洋博物館,Kobe,Japan,Asia,"2-2 Hatobachō, Chuo Ward, Kobe, Hyogo 650-0042, Japan","34.68312239697384, 135.18851975542466",1987,Yamato-1,,https://kobe-maritime-museum.com/,https://en.wikipedia.org/wiki/Kobe_Maritime_Museum,,,
Museum of Maritime Science 船の科学館,Tokyo,Japan,Asia,"3-1 Higashiyashio, Shinagawa City, Tokyo 135-8587, Japan","35.620913524917114, 139.7744595978646",1974,Ship models,,https://www.transport-pf.or.jp/norimono/museum/fk/,https://en.wikipedia.org/wiki/Museum_of_Maritime_Science,,,
Sea Culture Museum うるま市立海の文化資料館,Okinawa,Japan,Asia,"Japan, 〒904-2427 Okinawa, Uruma, Yonashiroyahira, 4−番地 海の駅あやはし館２階","26.333353641506676, 127.92974264549679",2003,,,https://umibun.ti-da.net/,,,,
NYK Maritime Museum 日本郵船歴史博物館,Yokohama,Japan,Asia,"Japan, 〒231-0002 Kanagawa, Yokohama, Naka Ward, Kaigandori, 3 Chome−９","35.451276025824995, 139.64093595236776",1993,History of modern Japan's maritime transportation,https://www.youtube.com/watch?v=cl0JfnRgAAw,https://museum.nyk.com/,https://en.wikipedia.org/wiki/NYK_Maritime_Museum,https://museum.nyk.com/en/contact.html,,
NYK Hikawamaru 日本郵船氷川丸,Yokohama,Japan,Asia,"Japan, 〒231-0023 Kanagawa, Yokohama, Naka Ward, Yamashitacho, 山下公園地先","35.447400282475655, 139.65079781587738",1961,Japanese ocean liner Hikawamaru,,https://hikawamaru.nyk.com/en/,https://en.wikipedia.org/wiki/Hikawa_Maru,https://hikawamaru.nyk.com/en/contact.html,,
Yokohama Port Museum 横浜みなと博物館,Yokohama,Japan,Asia,"2 Chome-1-1 Minatomirai, Nishi Ward, Yokohama, Kanagawa 220-0012, Japan","35.454043313836664, 139.6345114983984","1989, renovated and renamed in 2009",,,https://www.nippon-maru.or.jp/port-museum/,https://en.wikipedia.org/wiki/Yokohama_Port_Museum,n-info@nippon-maru.or.jp,,
Japan Coast Guard Museum 海上保安資料館,Yokohama,Japan,Asia,"1 Chome-2-1 Shinko, Naka Ward, Yokohama, Kanagawa 231-0001, Japan","35.45493869782275, 139.64572412168064",2004,North Korean spy vessel,,https://www.kaiho.mlit.go.jp/03kanku/kouhou/jcgm_yokohama/,https://en.wikipedia.org/wiki/Japan_Coast_Guard_Museum_Yokohama,,,
Japan Coast Guard Museum 海上保安資料館,Kure,Japan,Asia,"5 Wakabacho, Kure, Hiroshima 737-0832, Japan","34.24504577984685, 132.5313148597726",1980,,,https://www.jcga.ac.jp/shiryokan/shiryokan.html,https://en.wikipedia.org/wiki/Japan_Coast_Guard_Museum,,,
Kushimoto Turkish Memorial and Museum トルコ記念館,Kushimoto ,Japan,Asia,"1025-26 Kashino, Kushimoto, Higashimuro District, Wakayama 649-3631, Japan","33.470078975387935, 135.8618053661097",1929,,,https://kankou-kushimoto.jp/spots/%e3%83%88%e3%83%ab%e3%82%b3%e8%a8%98%e5%bf%b5%e9%a4%a8,https://en.wikipedia.org/wiki/Kushimoto_Turkish_Memorial_and_Museum,info@kankou-kushimoto.jp,,
Nagoya Marine Museum 名古屋海洋博物館,Nagoya,Japan,Asia,"1 Minatomachi, Minato Ward, Nagoya, Aichi 455-0033, Japan","35.090727630662116, 136.88144926877905",,,,https://nagoyaaqua.jp/garden-pier/museum/,,,,
Cormorant Fishing House 鵜飼資料園,Nagara,Japan,Asia,"Nakaukai, Nagara, Gifu City","35.92697086877447, 138.096107054141",,Fishing,,https://web.archive.org/web/20050716084137/http://www.gcci.or.jp/kankou/ukai/ukai_e.htm,https://en.wikipedia.org/wiki/Cormorant_Fishing_House,,,
Jersey Maritime Museum,Saint Helier,Jersey,Europe,"New North Quay, St Helier, Jersey JE2 3ND, Jersey","49.18231885645066, -2.108142024883842",1997,,https://vimeo.com/jerseyheritagvimeo,https://www.jerseyheritage.org/explore/find-a-place-to-visit/maritime-museum/,https://en.wikipedia.org/wiki/Jersey_Maritime_Museum,info@jerseyheritage.org,,
Kuwait Maritime Museum,Kuwait City,Kuwait,Asia,"9XPJ+4V9, Kuwait City, Kuwait","29.385996580647685, 47.98356997565002",2010,,,,,,https://en.unesco.org/silkroad/silk-road-themes/underwater-heritage/maritime-museum-0,
Muzium Samudera (Flor de La Mar),Malacca,Malaysia,Asia,"Jln Merdeka, Bandar Hilir, 75000 Melaka, Malaysia","2.1930049821278175, 102.24862912114682",1994,Replica of Flor do Mar,,http://perzim.gov.my/,https://en.wikipedia.org/wiki/Maritime_Museum_(Malaysia),,,
Royal Malaysian Navy Museum,Malacca,Malaysia,Asia,"Muzium Tldm, Jln Merdeka, Bandar Hilir, 75000 Malacca, Malaysia","2.1922475628790545, 102.24667798465644",1995,,,,https://en.wikipedia.org/wiki/Royal_Malaysian_Navy_Museum,,,
Submarine Museum,Malacca,Malaysia,Asia,"Jalan Klebang Besar/Klebang Kecil, 75200 Melaka, Malaysia","2.2123053338611656, 102.19900249786456",2011,Submarine,,,https://en.wikipedia.org/wiki/Submarine_Museum,,,
Muzium Marin Labuan,Labuan ,Malaysia,Asia,"Kompleks Sukan Air Antarabangsa Labuan, Jalan Tanjung Purun, 87008 Labuan, Malaysia","5.275760443977971, 115.25707103649034",2003,,,https://www.facebook.com/Halaman-Muzium-Marin-Labuan-106660724436060,,muziummarinlabuan@gmail.com,http://www.jmm.gov.my/en/museum/labuan-marine-museum,
Gallery of Admiral Cheng Ho,Malacca,Malaysia,Asia,"Jalan Kota, 75000 Melaka, Malaysia","2.1946346292269885, 102.24943116877904",2003,,https://www.youtube.com/watch?v=6tZGetGb-8Y,,https://en.wikipedia.org/wiki/Gallery_of_Admiral_Cheng_Ho,,,
Aquarium & Marine Museum,Kota Kinabalu,Malaysia,Asia,"Jalan UMS, 88400 Kota Kinabalu, Sabah, Malaysia","6.040870095648959, 116.1152526745823",1995,Biodiversity,https://youtu.be/fsBtSyuHDrk,https://www.facebook.com/UMSAkuarium/,,,,
Malta Maritime Museum,Birgu,Malta,Europe,"Ex-Naval Bakery Vittoriosa Waterfront, Birgu BRG 1721, Malta","35.888195859079616, 14.523555328017789",1992,,https://youtu.be/dhagfhoJ8mc,https://heritagemalta.org/malta-maritime-museum/,https://en.wikipedia.org/wiki/Malta_Maritime_Museum,https://heritagemalta.org/contact/,,
Oceanographic Museum of Monaco,Monaco,Monaco,Europe,"Av. Saint-Martin, 98000 Monaco","43.73137138520398, 7.427891428536329",1910,,https://www.youtube.com/user/MonacoOceano,https://musee.oceano.org/en/,https://en.wikipedia.org/wiki/Oceanographic_Museum_of_Monaco,https://www.oceano.org/en/contact/,,
Maritime Museum of Montenegro,Kotor,Montenegro,Europe,"391 Trg Bokeljske mornarice, Kotor 85330, Montenegro","42.42804548193911, 18.783903420050667",1900,,,http://www.museummaritimum.com/eng/eng.htm,,pom.muzej.dir@t-com.me,,
The Museum of the Island of Mozambique,Mozambique Island,Mozambique,Africa,"Mozambique Island, Mozambique","-15.023674468002229, 40.75673218477774",2004 (the maritime museum within was established in 1972),,,,,,https://en.unesco.org/silkroad/silk-road-themes/underwater-heritage/museum-island-mozambique,
Fisheries Museum,Maputo,Mozambique,Africa,"2HF9+RHC, Maputo, Mozambique","-25.975078674404756, 32.56926091291449",2014,,,http://www.mimaip.gov.mz/o-ministerio/instituicoes-tuteladas-e-subordinadas/museu-das-pescas/,,,,
Navy Museum,Den Helder,Netherlands,Europe,"Hoofdgracht 3, 1781 AA Den Helder, Netherlands","52.96431434503522, 4.77283771428798",,,,marinemuseum.nl/en/,https://en.wikipedia.org/wiki/Dutch_Navy_Museum,info@marinemuseum.nl,,
Fries Scheepvaart Museum,Sneek,Netherlands,Europe,"Kleinzand 16, 8601 BH Sneek, Netherlands","53.032674722753214, 5.666029481987138",1938,Ship models and naval paintings,https://www.youtube.com/c/friesscheepvaartmuseum1,https://friesscheepvaartmuseum.nl/,https://en.wikipedia.org/wiki/Fries_Scheepvaart_Museum,info@friesscheepvaartmuseum.nl,,
Maritime Museum Rotterdam,Rotterdam,Netherlands,Europe,"Leuvehaven 1, 3011 EA Rotterdam, Netherlands","51.91828098299428, 4.484746705301911",1874,,https://www.youtube.com/user/mmph2,https://www.maritiemmuseum.nl/en,https://en.wikipedia.org/wiki/Maritime_Museum_Rotterdam,support@globalticket.nl,,
National Maritime Museum,Amsterdam,Netherlands,Europe,"Kattenburgerplein 1, 1018 KK Amsterdam, Netherlands","52.37226932808973, 4.916072883581635",1916,,https://vimeo.com/user7224834?embedded=true&source=owner_name&owner=7224834,http://www.hetscheepvaartmuseum.com/,https://en.wikipedia.org/wiki/Het_Scheepvaartmuseum,info@hetscheepvaartmuseum.nl,,
Houseboat Museum,Amsterdam,Netherlands,Europe,"Prinsengracht 296 K
1016 HW Amsterdam","52.37039583286581, 4.885607866143945",,,https://youtu.be/45Nl7H9vAdU,,,info@houseboatmuseum.nl,,
Nationaal Sleepvaart Museum,Maassluis,Netherlands,Europe,"Hoogstraat 1, 3142 EA Maassluis, Netherlands","51.92178137769186, 4.2535131769012",1979,,https://www.youtube.com/channel/UC_IDroQvWMAhl2osByoQI-A,https://www.nationaalsleepvaartmuseum.nl/en/,,https://www.nationaalsleepvaartmuseum.nl/en/contact/general-information,,
Museum Vlaardingen,Vlaardingen,Netherlands,Europe,"Westhavenkade 54, 3131 AG Vlaardingen, Netherlands","51.905972702260854, 4.345448146171701",1920,historical artefacts,https://www.youtube.com/channel/UClPqDQf5oCSdeCJ09MLD9Jw,https://www.museumvlaardingen.nl/,https://nl.wikipedia.org/wiki/Museum_Vlaardingen,info@museumvlaardingen.nl,,
Zuiderzee Museum,Enkhuizen,Netherlands,Europe,"Wierdijk 12 - 22, 1601 LA Enkhuizen, Netherlands","52.70479757901463, 5.298350428469866",1950,Local maritime heritage,https://www.youtube.com/user/zuiderzeemuseum,https://www.zuiderzeemuseum.nl/,https://en.wikipedia.org/wiki/Zuiderzee_Museum,info@zuiderzeemuseum.nl,,
Bluff Maritime Museum,Bluff,New Zealand,Oceania,"241 Foreshore Road, Bluff 9814, New Zealand","-46.596044957610566, 168.33282995291196",1992,,https://www.odt.co.nz/lifestyle/summer-times/seeing-sights-southern-seas,http://www.bluffmuseum.co.nz/,https://en.wikipedia.org/wiki/Bluff_Maritime_Museum,bluff@BluffMuseum.nz,,
The Edwin Fox Ship,Picton,New Zealand,Oceania,"Dunbar Wharf, Picton 7281, New Zealand","-41.28601938418761, 174.00927592751992",,Museum ship,https://www.stuff.co.nz/travel/destinations/nz/nelson-tasman/300338051/world-famous-in-new-zealand-pictons-edwin-fox-sailing-ship,https://www.edwinfoxship.nz/,https://en.wikipedia.org/wiki/Edwin_Fox,info@edwinfoxship.nz,,
New Zealand Maritime Museum,Auckland,New Zealand,Oceania,"Corner of Quay and Hobson Street, Auckland 1140, New Zealand","-36.84110177612962, 174.76590512063993",1993,,https://www.youtube.com/channel/UCGvYjwhqU86GoB8V2Unc02A,https://www.maritimemuseum.co.nz/,https://en.wikipedia.org/wiki/New_Zealand_Maritime_Museum,info@maritimemuseum.co.nz,,
Torpedo Bay Navy Museum,Auckland,New Zealand,Oceania,"64 King Edward Parade, Devonport, Auckland 0624, New Zealand","-36.82773584443276, 174.811695451328",2010,,https://www.facebook.com/torpedobaynavymuseum/videos/?ref=page_internal,https://navymuseum.co.nz/,https://en.wikipedia.org/wiki/Torpedo_Bay_Navy_Museum,info@navymuseum.co.nz,,
Royal Norwegian Navy Museum,Horten,Norway,Europe,"Kommandørkaptein Klincks vei 9, 3183 Horten, Norway","59.425519154012974, 10.486825892595158",1853,Ships,,https://kultur.forsvaret.no/museer/marinemuseet,https://en.wikipedia.org/wiki/Royal_Norwegian_Navy_Museum,mar-mus@online.no,,
Norwegian Maritime Museum,Oslo,Norway,Europe,"Bygdøynesveien 37, 0286 Oslo, Norway","59.90293433548126, 10.699189569275534",1914,,https://www.youtube.com/channel/UCh26O7NjEjKyBW3xs74kEJw,https://marmuseum.no/en,https://en.wikipedia.org/wiki/Norwegian_Maritime_Museum,fellespost@marmuseum.no,,
The Viking Ship Museum,Oslo,Norway,Europe,"Huk Aveny 35, 0287 Oslo, Norway","59.90506315594538, 10.688441542335932",1926,viking ships,https://www.youtube.com/watch?v=0YU3Qh2VHSA,https://www.khm.uio.no/english/visit-us/viking-ship-museum/index.html,https://en.wikipedia.org/wiki/Viking_Ship_Museum_(Oslo),postmottak@khm.uio.no,,
Fram - The Polar Exploration Museum,Oslo,Norway,Europe,"Bygdøynesveien 36, 0286 Oslo, Norway","59.90380146379279, 10.700172960847986",1936,polar vessel,https://www.youtube.com/channel/UCbKBXMwfhgslinkcu-9zSFA,https://frammuseum.no/,https://en.wikipedia.org/wiki/Fram_Museum,https://frammuseum.no/contact/,,
The Kon-Tiki Museum,Oslo,Norway,Europe,"Bygdøynesveien 36, 0286 Oslo, Norway","59.904099301122386, 10.699525552383973",1949,Kon-Tiki raft,https://www.youtube.com/channel/UCgrOrxPTORTkpzsUuE9uItQ,https://www.kon-tiki.no/,https://en.wikipedia.org/wiki/Kon-Tiki_Museum,kon-tiki@kon-tiki.no,,
Bergen Maritime Museum,Bergen,Norway,Europe,"Haakon Sheteligs plass 15, 5007 Bergen, Norway","60.38739387359368, 5.321314490479967",1927,,,https://sjofartsmuseum.museumvest.no/english/,,postsjofart@museumvest.no,,
Hardanger Maritime Centre,Norheimsund,Norway,Europe,"Sandvenvegen 56 A, 5600 Norheimsund, Norway","60.36659528519668, 6.147164792042394",1984,,https://www.youtube.com/channel/UCl-5u4L-59SaDgVHJBzMTGw,https://fartoyvern.no/en/,,fartoyvern@hvm.museum.no,,
Norwegian Fishing Village Museum,Sørvågen,Norway,Europe,"Å vegen 21, 8392 Sørvågen, Norway","67.88162492889424, 12.98350782910397",1988,,,https://www.museumnord.no/en/home/,https://en.wikipedia.org/wiki/Norwegian_Fishing_Village_Museum,nfmuseum@museumnord.no,,
Norwegian Fisheries Museum,Bergen,Norway,Europe,"Sjøgaten 23, 5035 Bergen, Norway","60.4085808029413, 5.323718921167966",1880,,https://vimeo.com/173039867,https://fiskerimuseum.museumvest.no/english/,,fiskeri@museumvest.no,,
Karmoy Fishery Museum ,Veavågen,Norway,Europe,"Slettavikvegen 26, 4276 Veavågen, Norway","59.28913084112531, 5.24478542853633",1985,,,http://www.fiskerimuseum.net/,,karmoy@fiskerimuseum.net <karmoy@fiskerimuseum.net>;,,
DuVerden Maritime Museum and Science Center,Porsgrunn,Norway,Europe,"Tollbugata 23, 3933 Porsgrunn, Norway","59.13706261102786, 9.640127743342047",2013,,https://www.youtube.com/channel/UC0-e5GoUCHRJHCIHQuomE8g/featured,https://du-verden.no/,,booking@du-verden.no,,
Stavanger Maritime Museum,Stavanger,Norway,Europe,"Strandkaien 22, 4005 Stavanger, Norway","58.9707684187153, 5.7310147978498",1926,,,https://stavangermaritimemuseum.no/en/,,post@museumstavanger.no,,
Pakistan Maritime Museum,Karachi,Pakistan,Asia,Pakistan Maritime Museum,"24.886570631679486, 67.09179564442906",1997,,https://www.youtube.com/watch?v=SC2F65azmb4,https://pmm.com.pk/,https://en.wikipedia.org/wiki/Pakistan_Maritime_Museum,info@pmm.com.pk,,
Museo Maritimo,Manila,Philippines,Asia,"AIMS Campus, 1300 Roxas Boulevard, Pasay, Kalakhang Maynila, Philippines","14.550813458334082, 121.00014550733565",2012,,,https://www.facebook.com/MuseoMaritimo,,,,
Magellan's Landing Maritime Museum,Olongapo,Philippines,Asia,"Argonaut Hwy, Subic Bay Freeport Zone, Olongapo, Bataan, Philippines","14.826031082274651, 120.29949906610975",,,,,,,,
Pangko Maritime Museum,El Nido,Philippines,Asia,"7H97+GQ2, El Nido, Palawan, Philippines","11.270162900364998, 119.56482815343549",,,,,,,,
Marino Marini Museum,Manila,Philippines,Asia,"1004, 814 Julio Nakpil, Malate, Manila, 1004 Metro Manila, Philippines","14.574334528164853, 120.99142984389522",,Associated Marine Officers’ and Seamen’s Union of the Philippines,,https://museomarino.webs.com/,,museomarino@yahoo.com,,
National Maritime Museum,Gdansk,Poland,Europe,"Ołowianka 9-13, 80-751 Gdańsk, Poland","54.35134921176392, 18.66163683593919",1962,,https://www.youtube.com/c/NarodoweMuzeumMorskie/about,https://en.nmm.pl/,"https://en.wikipedia.org/wiki/National_Maritime_Museum,_Gda%C5%84sk",sekretariat@nmm.pl,,
